booking_id,passenger_key,flight_id,booking_date,status,seat_number,passport_number,emergency_contact_phone,payment_amount,payment_method,is_amount_imputed,payment_attempt_count,payment_status
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,P*****87,MASKED-5128,,,,,NO_PAYMENT_RECORD
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,18A,L*****12,MASKED-8662,,,,,NO_PAYMENT_RECORD
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,G*****59,MASKED-8220,2505.86,NETBANKING,False,2.0,PAYMENT_RECORDED
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,M*****76,MASKED-6839,,,,,NO_PAYMENT_RECORD
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,25C,N*****31,MASKED-8266,12222.48,UPI,False,1.0,PAYMENT_RECORDED
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,B*****69,MASKED-2726,13378.9,UPI,False,1.0,PAYMENT_RECORDED
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,W*****20,MASKED-7864,14980.37,NETBANKING,False,1.0,PAYMENT_RECORDED
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,C*****17,MASKED-5776,,,,,NO_PAYMENT_RECORD
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,34F,J*****82,MASKED-8807,,,,,NO_PAYMENT_RECORD
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,Y*****45,MASKED-6278,,,,,NO_PAYMENT_RECORD
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,N*****28,MASKED-9414,8158.17,NETBANKING,True,1.0,PAYMENT_RECORDED
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,E*****66,MASKED-6153,2115.18,CARD,False,1.0,PAYMENT_RECORDED
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,28B,F*****66,MASKED-6860,6979.86,CARD,False,4.0,PAYMENT_RECORDED
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,A*****77,MASKED-6561,1176.33,UPI,False,1.0,PAYMENT_RECORDED
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,21E,P*****52,MASKED-9979,,,,,NO_PAYMENT_RECORD
B1015,P1431,UK094,2025-10-21 11:37:36.951,UNKNOWN,6F,D*****67,MASKED-5012,7601.56,CARD,False,2.0,PAYMENT_RECORDED
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,A*****55,MASKED-0204,9724.26,NETBANKING,False,2.0,PAYMENT_RECORDED
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,L*****90,MASKED-8257,,,,,NO_PAYMENT_RECORD
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,19B,T*****81,MASKED-0106,2588.63,UPI,False,1.0,PAYMENT_RECORDED
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,Y*****93,MASKED-0835,3810.73,CARD,False,3.0,PAYMENT_RECORDED
